Date,High,Low,Open,Close,Volume,Adj Close,ticker
2018-07-03,788109.3667555115,779083.5142927429,780566.629740741,783124.6034193299,88661386.0,751458.4689165527,My Portfolio
2018-07-04,795376.2418521027,779871.4499209503,780578.6569369416,790325.8553622345,71686373.0,758349.4865769348,My Portfolio
2018-07-05,793630.5948281921,786139.9172769226,789520.2239480652,789281.3890329041,85610562.0,757351.5156995819,My Portfolio
2018-07-06,808536.3865388306,794090.0900453003,795674.6849549683,802967.9539063843,129563560.0,770391.1837143616,My Portfolio
2018-07-09,809651.1604552949,796437.7925658906,806848.2225585664,799731.3108154023,72024707.0,767300.0157626893,My Portfolio
2018-07-10,803565.8163413911,793252.2863426118,801855.8556327729,798169.7230033784,94455348.0,765769.9134331329,My Portfolio
2018-07-11,794935.6193563293,780908.8319875549,792420.4805929016,784306.3544484924,140322163.0,752430.1978757232,My Portfolio
2018-07-12,787226.2218486664,772010.1837779877,784385.8407909272,781923.2392131684,103192393.0,750174.9297420806,My Portfolio
2018-07-13,788808.0660197937,779721.8788249695,786353.4147899353,780095.6128642762,64931466.0,748417.1291364166,My Portfolio
2018-07-16,782953.5866694306,769699.1582484101,781760.9410548066,775524.278624997,92407292.0,744034.895874768,My Portfolio
2018-07-17,778008.8599445587,766843.0801136261,774634.4795887237,770517.5485431915,123226704.0,739255.7859912934,My Portfolio
2018-07-18,777794.5116796509,770649.1876440063,774434.5978155151,773532.0971136108,66262242.0,742115.8656641144,My Portfolio
2018-07-19,774599.2524376281,763298.820156134,770804.8887443908,765057.6508598693,119171112.0,733985.5704832214,My Portfolio
2018-07-20,766758.285115982,756729.2709100494,763360.8535363922,763525.1642358551,116789840.0,732519.6348561889,My Portfolio
2018-07-23,765988.7431095978,756965.2836369416,760360.5067967316,758977.2503117463,61687836.0,728183.5337517089,My Portfolio
2018-07-24,770580.3255549714,757123.4059077546,764584.5343257233,763647.8109980866,84045318.0,732669.2081054688,My Portfolio
2018-07-25,773040.8122271392,753217.5436266754,759305.0774859283,764453.139940152,115008215.0,733380.6267629181,My Portfolio
2018-07-26,768418.2975875793,751339.9000503479,764813.9926864563,757464.6081191956,111361563.0,726830.2638391051,My Portfolio
2018-07-27,768560.3399837799,757496.246661026,759967.8008602448,764802.7257717438,104703529.0,733891.2192701295,My Portfolio
2018-07-30,777218.5234043275,758998.2353336487,761041.6312992249,774151.7970859681,144257357.0,742970.8582682465,My Portfolio
2018-07-31,783503.2886727905,771803.1537698364,776177.2567514038,776030.0177987671,97174699.0,744780.7327158081,My Portfolio
2018-08-01,776112.0662459168,766126.2830885681,774933.7030867371,767434.753440741,103983694.0,736575.2139003449,My Portfolio
2018-08-02,770551.6502939239,757765.9474893585,766893.2606454864,761333.2599435821,84367466.0,730667.7656519257,My Portfolio
2018-08-03,773296.5148861175,761079.948739267,765537.9257595306,771528.7313778168,73612391.0,740466.6183569061,My Portfolio
2018-08-06,762339.1240149536,751675.2612067261,758878.9364691772,755906.3801489868,90720323.0,725444.8623984833,My Portfolio
2018-08-07,779268.0641645325,768301.7641614807,770980.9206556213,776008.3590711487,118787505.0,744722.9413218567,My Portfolio
2018-08-08,781852.604993213,771671.3316625245,774564.3969243653,778377.2451757081,63833693.0,746953.3849381043,My Portfolio
2018-08-09,778653.3750899445,771136.6289504181,777868.8324568878,775566.3340285431,51761154.0,744234.7387374756,My Portfolio
2018-08-10,776010.8013435943,767066.1115242584,774711.1560799225,769195.9613472564,64809375.0,738106.1024775666,My Portfolio
2018-08-13,767766.1714996307,758322.9006256072,765877.4806274383,759943.7892211883,88821609.0,729252.8487092651,My Portfolio
2018-08-14,763538.7498945068,752118.3756879638,762394.2063916991,753314.1920026611,120854395.0,722890.8777208191,My Portfolio
2018-08-15,756386.9039747254,742831.1162549988,755904.1113416688,745291.8960706727,115442356.0,715160.7303872223,My Portfolio
2018-08-16,756863.1117029907,745453.7488947632,747278.7153864624,755238.9088984253,109664829.0,724684.2154600006,My Portfolio
2018-08-17,758456.4643160156,750422.1818605713,753747.3669496826,755076.595724707,59982541.0,724508.1025132263,My Portfolio
2018-08-20,760368.3674893158,753529.9760861176,755024.6964382904,756042.2004666107,46992897.0,725455.5342645508,My Portfolio
2018-08-21,757508.6387976531,750885.0251196746,754369.6538885955,753050.22792424,127223645.0,722600.8933776459,My Portfolio
2018-08-22,760718.9566844054,749103.6659739562,752228.6312449523,753618.7322886535,49804913.0,723095.7203902679,My Portfolio
2018-08-23,758232.4814988037,752425.739219751,756370.1965866943,753400.1118546387,38167016.0,722881.3932625579,My Portfolio
2018-08-24,754408.9255234009,748392.6911331421,753403.0172744995,750201.2292038208,57719340.0,719842.9431060639,My Portfolio
2018-08-27,4835.2799072265625,4835.2799072265625,4835.2799072265625,4835.2799072265625,0.0,4767.781091308593,My Portfolio
2018-08-28,755301.3677294006,746462.1306993713,752193.8310625305,751426.7789537659,73956712.0,721035.5635872192,My Portfolio
2018-08-29,755878.3170155121,744426.2317493989,751672.6015766694,748905.7666615082,84598096.0,718599.5476405639,My Portfolio
2018-08-30,747789.4040164643,729982.457345932,744449.9427890473,735573.3540134125,140831590.0,705762.7108342529,My Portfolio
2018-08-31,738753.3031554138,725840.9138579285,731980.6917509949,730011.9791197693,234776497.0,700411.3075269562,My Portfolio
2018-09-03,738792.8441440124,728184.5650149841,731580.8467685241,731521.1802798767,85375049.0,701872.7219885101,My Portfolio
2018-09-04,735718.2103541137,721201.8235132934,733768.9877283813,726502.2286036254,86307014.0,697036.0303958099,My Portfolio
2018-09-05,729204.6210764832,717525.7496622986,724383.8563364929,719934.9044016785,103007327.0,690751.5912194701,My Portfolio
2018-09-06,728931.1032689636,714787.3444951599,722064.0564244812,718052.3231023377,157787736.0,688954.5123529602,My Portfolio
2018-09-07,723476.815523285,714237.6444722596,719460.980089325,718724.9923726502,92008698.0,689625.9594793548,My Portfolio
2018-09-10,727859.767486145,716651.8711696167,722044.4536281128,723973.511703064,76210580.0,694626.0384910675,My Portfolio
2018-09-11,727564.5019620727,718483.8537229369,725394.097573645,724727.5324949096,76218770.0,695379.296497934,My Portfolio
2018-09-12,729052.4470972504,719256.5288538422,723606.3467554535,726795.5014795746,67249700.0,697320.5126673004,My Portfolio
2018-09-13,733318.1603097596,720486.8013620056,726476.8227548279,724924.447678534,86699854.0,695601.1860081756,My Portfolio
2018-09-14,729634.1158565277,721424.4825252289,728042.0107692474,724465.8646358246,79423638.0,695139.6018451966,My Portfolio
2018-09-17,728868.9562922486,717687.0882197388,720934.51348219,723194.3297968872,59612316.0,693958.5380566651,My Portfolio
2018-09-18,725799.3642312011,712356.2077370605,720836.9900093994,718242.3468514404,83617316.0,689311.6445114075,My Portfolio
